COUNTY,Year,Housing_Units,Population,Units_Per_Capita,Pop_Growth
Clallam,2022,38384,77625,0.49447987117552333,-0.1607717041800643
Clallam,2023,38608,78075,0.49449887928274094,0.5797101449275363
Clallam,2024,38862,78550,0.4947422024188415,0.6083893691962856
Clallam,2025,39090,78650,0.49701207883026066,0.1273074474856779
Clark,1990,92849,238053,0.3900349922076176,
Clark,1991,96852,248417,0.3898766992597125,4.353652337924748
Clark,1992,99721,255915,0.3896645370533185,3.0183119512754764
Clark,1993,103033,264548,0.3894680738467121,3.3733856944688667
Clark,1994,106829,274423,0.38928588347186643,3.732781952613514
Clark,1995,111605,286804,0.38913334542056593,4.511648076145221
Clark,1996,116052,298364,0.3889611347213471,4.0306271879053295
Clark,1997,120724,310512,0.38879012727366413,4.0715367805767455
Clark,1998,125873,323892,0.38862645573215765,4.309012212088422
Clark,1999,129984,334641,0.38842819618636093,3.318698825534437
Clark,2000,134030,345238,0.3882249346827406,3.1666771256361295
Clark,2001,137382,352715,0.3894986036885304,2.1657523215868473
Clark,2002,142525,364855,0.3906346356771868,3.44187233318685
Clark,2003,146815,374091,0.3924579848218749,2.5314165901522525
Clark,2004,151482,385370,0.39308197316864313,3.0150417946435493
Clark,2005,155762,394600,0.3947339077546883,2.395100812206451
Clark,2006,160104,404737,0.3955753983450982,2.5689305625950327
Clark,2007,163299,412692,0.3956921869093658,1.9654738756278771
Clark,2008,166196,419091,0.39656303762190076,1.5505510162542526
Clark,2009,168118,423775,0.39671523803905373,1.117657024369409
Clark,2010,167413,425363,0.39357678030294124,0.37472715474013335
Clark,2011,168441,428626,0.3929789606790069,0.7671095041176595
Clark,2012,169668,432320,0.392459289415248,0.8618235944623052
Clark,2013,170753,437014,0.39072661287739063,1.0857698001480385
Clark,2014,172907,444450,0.38903588705141184,1.701547318850197
Clark,2015,174899,452534,0.3864880870829595,1.8188772640341997
Clark,2016,177656,461869,0.3846458627879334,2.062828428361184
Clark,2017,181448,472481,0.38403237378857563,2.297621186959939
Clark,2018,184794,480952,0.38422545285184384,1.7928763273020503
Clark,2019,188418,490693,0.3839834682785367,2.0253580398875566
Clark,2020,195036,503311,0.3875059356938354,2.571465254242469
Clark,2021,199905,513100,0.3896024166829078,1.944920734893535
Clark,2022,203748,520900,0.3911460933000576,1.5201715065289418
Clark,2023,207043,527400,0.3925729996207812,1.247840276444615
Clark,2024,211977,536300,0.3952582509789297,1.6875237011755782
Clark,2025,216311,542400,0.39880346607669614,1.137423084094723
Columbia,1990,2046,4024,0.5084493041749503,
Columbia,1991,2051,4044,0.5071711177052424,0.4970178926441352
Columbia,1992,2044,4041,0.5058153922296461,-0.0741839762611276
Columbia,1993,2042,4047,0.504571287373363,0.14847809948032664
Columbia,1994,2040,4053,0.5033308660251665,0.14825796886582654
Columbia,1995,2034,4051,0.5020982473463342,-0.049346163335800636
Columbia,1996,2029,4051,0.5008639842014317,0.0
Columbia,1997,2027,4056,0.4997534516765286,0.12342631449024932
Columbia,1998,2023,4058,0.4985214391325776,0.04930966469428008
Columbia,1999,2021,4062,0.49753815854258987,0.09857072449482504
Columbia,2000,2018,4064,0.4965551181102362,0.04923682914820286
Columbia,2001,2060,4114,0.5007292173067575,1.2303149606299213
Columbia,2002,2074,4115,0.5040097205346294,0.024307243558580455
Columbia,2003,2092,4111,0.5088786183410362,-0.09720534629404617
Columbia,2004,2103,4122,0.5101892285298398,0.2675747993189005
Columbia,2005,2120,4135,0.5126964933494559,0.3153808830664726
Columbia,2006,2143,4128,0.5191375968992248,-0.16928657799274485
Columbia,2007,2155,4095,0.5262515262515263,-0.7994186046511629
Columbia,2008,2170,4099,0.5293974140034154,0.09768009768009768
Columbia,2009,2183,4097,0.5328288991945326,-0.04879238838741156
Columbia,2010,2136,4078,0.523786169691025,-0.4637539663168172
Columbia,2011,2147,4069,0.5276480707790612,-0.2206964198136341
Columbia,2012,2149,4039,0.5320623916811091,-0.7372818874416318
Columbia,2013,2157,4037,0.5343076541986623,-0.04951720722951226
Columbia,2014,2155,4003,0.5383462403197602,-0.8422095615556106
Columbia,2015,2180,4007,0.5440479161467432,0.09992505620784412
Columbia,2016,2191,3990,0.5491228070175439,-0.4242575492887447
Columbia,2017,2199,3979,0.5526514199547625,-0.2756892230576441
Columbia,2018,2208,3970,0.5561712846347607,-0.2261874842925358
Columbia,2019,2211,3962,0.5580514891468955,-0.20151133501259444
Columbia,2020,2190,3952,0.5541497975708503,-0.2523977788995457
Columbia,2021,2198,3950,0.5564556962025317,-0.05060728744939271
Columbia,2022,2216,3950,0.5610126582278481,0.0
Columbia,2023,2227,3950,0.5637974683544303,0.0
Columbia,2024,2233,3975,0.5617610062893081,0.6329113924050633
Columbia,2025,2239,3950,0.5668354430379747,-0.628930817610063
Cowlitz,1990,33304,82119,0.4055577880880186,
Cowlitz,1991,33684,82862,0.40650720475006635,0.9047845200258161
Cowlitz,1992,34147,83802,0.4074723753609699,1.1344162583572686
Cowlitz,1993,34642,84813,0.40845153455248606,1.2064151213574854
Cowlitz,1994,35180,85921,0.4094458863374495,1.3064034994635256
Cowlitz,1995,35805,87232,0.41045717168011736,1.5258202302114732
Cowlitz,1996,36428,88531,0.4114716878833403,1.4891324284666176
Cowlitz,1997,36945,89568,0.4124799035369775,1.1713411121528052
Cowlitz,1998,37462,90600,0.4134878587196468,1.152197213290461
Cowlitz,1999,38029,91744,0.41451212068364146,1.2626931567328918
Cowlitz,2000,38624,92948,0.4155441752377674,1.312347401464946
Cowlitz,2001,39168,94081,0.41632210541979786,1.2189611395619055
Cowlitz,2002,39674,94854,0.41826385813987815,0.8216324231247543
Cowlitz,2003,40092,95849,0.41828292418282925,1.0489805385118183
Cowlitz,2004,40548,96593,0.41978197177849325,0.7762209308391324
Cowlitz,2005,41077,97673,0.42055634617550397,1.118093443624279
Cowlitz,2006,41735,99095,0.4211615116807104,1.455878287756084
Cowlitz,2007,42350,100377,0.4219094015561334,1.2937080579242142
Cowlitz,2008,42826,101542,0.42175651454570523,1.1606244458391863
Cowlitz,2009,43190,102175,0.4227061414240274,0.6233873668038842
Cowlitz,2010,43450,102410,0.4242749731471536,0.22999755321751894
Cowlitz,2011,43591,102730,0.42432590285213667,0.3124694854018162
Cowlitz,2012,43697,103097,0.42384356479819973,0.3572471527304585
Cowlitz,2013,43822,103470,0.423523726684063,0.3617952025762146
Cowlitz,2014,44009,104043,0.4229885720327172,0.5537837054218614
Cowlitz,2015,44218,104702,0.42232240071822885,0.6333919629384005
Cowlitz,2016,44437,105419,0.4215274286418957,0.6848006723844817
Cowlitz,2017,44685,106469,0.4196996308784717,0.9960253844183685
Cowlitz,2018,45087,107782,0.4183166020300236,1.2332228160309573
Cowlitz,2019,45444,109315,0.4157160499473997,1.4223154144476815
Cowlitz,2020,45424,110730,0.4102230651133387,1.2944243699400815
Cowlitz,2021,45814,111500,0.4108878923766816,0.6953851711369999
Cowlitz,2022,46255,112350,0.41170449488206495,0.7623318385650224
Cowlitz,2023,46536,113000,0.4118230088495575,0.5785491766800178
Cowlitz,2024,47102,113900,0.4135381913959614,0.7964601769911505
Cowlitz,2025,47513,114500,0.41496069868995633,0.5267778753292361
Douglas,1990,10636,26195,0.4060316854361519,
Douglas,1991,11204,27648,0.40523726851851855,5.546860087803015
Douglas,1992,11084,27423,0.4041862670021515,-0.8138020833333334
Douglas,1993,11350,28143,0.40329744519063354,2.6255333114538892
Douglas,1994,11545,28692,0.40237696919001814,1.9507515190278224
Douglas,1995,11768,29312,0.40147379912663755,2.1608810818346575
Douglas,1996,12004,29967,0.4005739646944973,2.2345796943231444
Douglas,1997,12209,30548,0.3996660992536336,1.9387993459472084
Douglas,1998,12533,31427,0.39879721258790213,2.877438784863166
Douglas,1999,12747,32035,0.39790853753706884,1.9346421866547874
Douglas,2000,12944,32603,0.39701867926264456,1.77306071484314
Douglas,2001,13075,32817,0.39842154980650274,0.6563813146029506
Douglas,2002,13277,32871,0.40391226308904504,0.16454886187037207
Douglas,2003,13493,33545,0.4022358026531525,2.050439597213349
Douglas,2004,13727,33944,0.4044013669573415,1.1894470114771203
Douglas,2005,13992,34466,0.4059652991353798,1.5378270091916098
Douglas,2006,14338,35505,0.40383044641599775,3.0145650786282134
Douglas,2007,14700,36340,0.40451293340671435,2.351781439233911
Douglas,2008,15191,37238,0.4079434985767227,2.471106219042378
Douglas,2009,15544,38036,0.40866547481333476,2.1429722326655565
Douglas,2010,16004,38431,0.41643464911139444,1.0384898517194237
Douglas,2011,16102,38676,0.41633054090391974,0.637506179906846
Douglas,2012,16214,38968,0.41608499281461714,0.7549901747853967
Douglas,2013,16299,39269,0.41506022562326517,0.7724286594128515
Douglas,2014,16417,39557,0.4150213615794929,0.7334029387048308
Douglas,2015,16591,40008,0.41469206158768246,1.1401269054781706
Douglas,2016,16772,40533,0.4137862975846841,1.312237552489502
Douglas,2017,16976,41042,0.41362506700453194,1.2557669059778451
Douglas,2018,17193,41570,0.41359153235506374,1.2864870133034452
Douglas,2019,17408,42151,0.4129913881046713,1.397642530671157
Douglas,2020,17318,42938,0.4033257254646234,1.8670968660292757
Douglas,2021,17591,43550,0.4039265212399541,1.4253109134100332
Douglas,2022,17966,44000,0.4083181818181818,1.0332950631458095
Douglas,2023,18183,44500,0.4086067415730337,1.1363636363636365
Douglas,2024,18465,45150,0.4089700996677741,1.4606741573033708
Douglas,2025,18751,45450,0.41256325632563257,0.6644518272425249
Ferry,1990,3239,6295,0.5145353455123114,
Ferry,1991,3277,6366,0.5147659440779139,1.1278792692613184
Ferry,1992,3330,6465,0.5150812064965197,1.5551366635249764
Ferry,1993,3382,6561,0.515470202713001,1.4849187935034802
